icao,name,email,phone
BYR,Berytos Airlines,berytosairlines@email.com,2517
BYE,Bayu Indonesia Air,bayuindonesiaair@email.com,2518
BZA,Bizair Fluggesellschaft,bizairfluggesellschaft@email.com,2519
BZH,Brit Air,britair@email.com,2520
BZZ,Butane Buzzard Aviation Corporation,butanebuzzardaviationcorporation@email.com,2521
AUJ,Business Flight Salzburg,businessflightsalzburg@email.com,2522
CKM,BKS Air (Rivaflecha),bksair(rivaflecha)@email.com,2523
CLF,Bristol Flying Centre,bristolflyingcentre@email.com,2524
CLN,Barnes Olsen Aeroleasing,barnesolsenaeroleasing@email.com,2525
CPJ,Baltimore Air Transport,baltimoreairtransport@email.com,2526
CXS,Boston-Maine Airways,boston-maineairways@email.com,2527
DAT,Brussels Airlines,brusselsairlines@email.com,2528
EAH,Baltimore Airways,baltimoreairways@email.com,2529
EBA,Bond Aviation,bondaviation@email.com,2530
EXB,Brazilian Army Aviation,brazilianarmyaviation@email.com,2531
EXP,Business Express Delivery,businessexpressdelivery@email.com,2532
FOS,Bel Limited,bellimited@email.com,2533
HAW,Bangkok Aviation Center,bangkokaviationcenter@email.com,2534
HAX,Benair,benair@email.com,2535
IBB,Binter Canarias,bintercanarias@email.com,2536
IRJ,Bonyad Airlines,bonyadairlines@email.com,2537
IVR,Burundaiavia,burundaiavia@email.com,2538
JOR,Blue Air,blueair@email.com,2539
LAJ,British Mediterranean Airways,britishmediterraneanairways@email.com,2540
LBY,Belle Air,belleair@email.com,2541
LED,Blom Geomatics,blomgeomatics@email.com,2542
LTL,Benin Littoral Airways,beninlittoralairways@email.com,2543
LXJ,Bombardier Business Jet Solutions,bombardierbusinessjetsolutions@email.com,2544
LZB,Bulgaria Air,bulgariaair@email.com,2545
MBR,Brazilian Navy Aviation,braziliannavyaviation@email.com,2546
NKF,Barents AirLink,barentsairlink@email.com,2547
NYB,Belgian Navy,belgiannavy@email.com,2548
OGJ,Bakoji Airlines Services,bakojiairlinesservices@email.com,2549
PEB,Benders Air,bendersair@email.com,2550
PNT,Balmoral Central Contracts,balmoralcentralcontracts@email.com,2551
POI,BGB Air,bgbair@email.com,2552
PPS,Butte Aviation,butteaviation@email.com,2553
RHD,Bond Air Services,bondairservices@email.com,2554
RLR,Business Airfreight,businessairfreight@email.com,2555
RPX,BAC Express Airlines,bacexpressairlines@email.com,2556
RRS,Boscombe Down DERA (Formation),boscombedowndera(formation)@email.com,2557
SCJ,Business Jet Sweden,businessjetsweden@email.com,2558
SHT,British Airways Shuttle,britishairwaysshuttle@email.com,2559
SKH,British Sky Broadcasting,britishskybroadcasting@email.com,2560
TXB,Bell Helicopter Textron,bellhelicoptertextron@email.com,2561
UKA,Buzzaway Limited,buzzawaylimited@email.com,2562
VLX,Biz Jet Charter,bizjetcharter@email.com,2563
VOL,Blue Chip Jet,bluechipjet@email.com,2564
WFD,BAE Systems,baesystems@email.com,2565
WTN,BAE Systems,baesystems@email.com,2566
XBO,Baseops International,baseopsinternational@email.com,2567
XDA,Bureau Veritas,bureauveritas@email.com,2568
XMS,British Airways,britishairways@email.com,2569
ZBA,Boskovic Air Charters Limited,boskovicaircharterslimited@email.com,2570
SRJ,C Air Jet Airlines,cairjetairlines@email.com,2571
ORO,C N Air,cnair@email.com,2572
TIP,C and M Aviation,candmaviation@email.com,2573
RWG,C&M Airways,c&mairways@email.com,2574
RMU,C.S.P.,c.s.p.@email.com,2575
CBI,CABI,cabi@email.com,2576
CPI,CAI,cai@email.com,2577
ICL,CAL Cargo Air Lines,calcargoairlines@email.com,2578
CMR,CAM Air Management,camairmanagement@email.com,2579
CTZ,CATA L,catal@email.com,2580
CCF,CCF Manager Airline,ccfmanagerairline@email.com,2581
CED,CEDTA (Compania Ecuatoriana De Transportes Aereos),cedta(companiaecuatorianadetransportesaereos)@email.com,2582
HBI,CHC Denmark,chcdenmark@email.com,2583
HEM,CHC Helicopters,chchelicopters@email.com,2584
SCH,CHC Airways,chcairways@email.com,2585
HKS,CHC Helikopter Service,chchelikopterservice@email.com,2586
VCI,CI-Tours,ci-tours@email.com,2587
CKC,CKC Services,ckcservices@email.com,2588
CMZ,CM Stair,cmstair@email.com,2589
CNT,CNET,cnet@email.com,2590
OAP,COAPA AIR,coapaair@email.com,2591
PDR,COMAV,comav@email.com,2592
CRH,CRI Helicopters Mexico,crihelicoptersmexico@email.com,2593
IRO,CSA Air,csaair@email.com,2594
CSE,CSE Aviation,cseaviation@email.com,2595
CTQ,CTK Network Aviation,ctknetworkaviation@email.com,2596
CBR,Cabair College of Air Training,cabaircollegeofairtraining@email.com,2597
CVE,Cabo Verde Express,caboverdeexpress@email.com,2598
CWD,Caernarfon Airworld,caernarfonairworld@email.com,2599
CCE,Cairo Air Transport Company,cairoairtransportcompany@email.com,2600
CGC,Cal Gulf Aviation,calgulfaviation@email.com,2601
REZ,Cal-West Aviation,cal-westaviation@email.com,2602
CSL,California Air Shuttle,californiaairshuttle@email.com,2603
CLI,Calima Aviacion,calimaaviacion@email.com,2604
CAV,Calm Air,calmair@email.com,2605
CAM,Camai Air,camaiair@email.com,2606
KHM,Cambodia Airlines,cambodiaairlines@email.com,2607
UYC,Cameroon Airlines,cameroonairlines@email.com,2608
HSO,Campania Helicopteros De Transporte,campaniahelicopterosdetransporte@email.com,2609
CJA,CanJet,canjet@email.com,2610
PIL,Canada Jet Charters,canadajetcharters@email.com,2611
CDN,Canadian Airlines,canadianairlines@email.com,2612
CTG,Canadian Coast Guard,canadiancoastguard@email.com,2613
HIA,Canadian Eagle Aviation,canadianeagleaviation@email.com,2614
CFC,Canadian Forces,canadianforces@email.com,2615
BZD,Canadian Global Air Ambulance,canadianglobalairambulance@email.com,2616
CDN,Canadian Helicopters,canadianhelicopters@email.com,2617
TKR,Canadian Interagency Forest Fire Centre,canadianinteragencyforestfirecentre@email.com,2618
XNC,Canadian National Telecommunications,canadiannationaltelecommunications@email.com,2619
MPE,Canadian North,canadiannorth@email.com,2620
CDR,Canadian Regional Airlines,canadianregionalairlines@email.com,2621
CWH,Canadian Warplane Heritage Museum,canadianwarplaneheritagemuseum@email.com,2622
CWA,Canadian Western Airlines,canadianwesternairlines@email.com,2623
CWW,Canair,canair@email.com,2624
CUI,Cancun Air,cancunair@email.com,2625
KAP,Cape Air,capeair@email.com,2626
CTO,Cape Air Transport,capeairtransport@email.com,2627
SEM,Cape Central Airways,capecentralairways@email.com,2628
CMY,Cape Smythe Air,capesmytheair@email.com,2629
CPX,Capital Air Service,capitalairservice@email.com,2630
CPD,Capital Airlines,capitalairlines@email.com,2631
NCP,Capital Airlines Limited,capitalairlineslimited@email.com,2632
CCI,Capital Cargo International Airlines,capitalcargointernationalairlines@email.com,2633
CCQ,Capital City Air Carriers,capitalcityaircarriers@email.com,2634
EGL,Capital Trading Aviation,capitaltradingaviation@email.com,2635
CEX,Capitol Air Express,capitolairexpress@email.com,2636
CWZ,Capitol Wings Airline,capitolwingsairline@email.com,2637
VAN,Caravan Air,caravanair@email.com,2638
CWN,Cardiff Wales Flying Club,cardiffwalesflyingclub@email.com,2639
FVA,Cardinal/Air Virginia,cardinal/airvirginia@email.com,2640
GOL,Cardolaar,cardolaar@email.com,2641
CDI,Cards Air Services,cardsairservices@email.com,2642
CFH,Care Flight,careflight@email.com,2643
CDM,Carga Aerea Dominicana,cargaaereadominicana@email.com,2644
EST,Carga Express Internacional,cargaexpressinternacional@email.com,2645
GGC,Cargo 360,cargo360@email.com,2646
MCX,Cargo Express,cargoexpress@email.com,2647
CRV,Cargo Ivoire,cargoivoire@email.com,2648
CLM,Cargo Link (Caribbean),cargolink(caribbean)@email.com,2649
CTW,Cargo Three,cargothree@email.com,2650
CRG,Cargoitalia,cargoitalia@email.com,2651
CJT,Cargojet Airways,cargojetairways@email.com,2652
CLX,Cargolux,cargolux@email.com,2653
CGM,Cargoman,cargoman@email.com,2654
DEL,Carib Aviation,caribaviation@email.com,2655
BCB,Carib Express,caribexpress@email.com,2656
CBC,Caribair,caribair@email.com,2657
DCC,Caribbean Air Cargo,caribbeanaircargo@email.com,2658
CLT,Caribbean Air Transport,caribbeanairtransport@email.com,2659
BWA,Caribbean Airlines,caribbeanairlines@email.com,2660
IQQ,Caribbean Airways,caribbeanairways@email.com,2661
TLC,Caribbean Express,caribbeanexpress@email.com,2662
GFI,Caribbean Star Airlines,caribbeanstarairlines@email.com,2663
CRT,Caribintair,caribintair@email.com,2664
CVG,Carill Aviation,carillaviation@email.com,2665
KRP,Carpatair,carpatair@email.com,2666
CRR,Carranza,carranza@email.com,2667
ULS,Carroll Air Service,carrollairservice@email.com,2668
CMT,Casement Aviation,casementaviation@email.com,2669
CSO,Casino Airline,casinoairline@email.com,2670
CSP,Casper Air Service,casperairservice@email.com,2671
CPN,Caspian Airlines,caspianairlines@email.com,2672
CSJ,Castle Aviation,castleaviation@email.com,2673
CAZ,Cat Aviation,cataviation@email.com,2674
CBT,Catalina Flying Boats,catalinaflyingboats@email.com,2675
TEX,Catex,catex@email.com,2676
CPA,Cathay Pacific,cathaypacific@email.com,2677
CJR,Caverton Helicopters,cavertonhelicopters@email.com,2678
CAY,Cayman Airways,caymanairways@email.com,2679
CEB,Cebu Pacific,cebupacific@email.com,2680
CIL,Cecil Aviation,cecilaviation@email.com,2681
CEG,Cega Aviation,cegaaviation@email.com,2682
CEC,Celtic Airways,celticairways@email.com,2683
CWE,Celtic West,celticwest@email.com,2684
CNA,Centavia,centavia@email.com,2685
CEV,Cente D'Essais En Vol,cented'essaisenvol@email.com,2686
CNL,Centennial Airlines,centennialairlines@email.com,2687
CNS,Centennial Flight Centre,centennialflightcentre@email.com,2688
CVO,Center Vol,centervol@email.com,2689
CTS,Center-South,center-south@email.com,2690
CET,Centrafrican Airlines,centrafricanairlines@email.com,2691
CAX,Central Air Express,centralairexpress@email.com,2692
CTL,Central Airlines,centralairlines@email.com,2693
CNY,Central Airways,centralairways@email.com,2694
ACN,Central American Airlines,centralamericanairlines@email.com,2695
YOG,Central Aviation,centralaviation@email.com,2696
CCG,Central Connect Airlines,centralconnectairlines@email.com,2697
DRN,Central De Discos De Reynosa,centraldediscosdereynosa@email.com,2698
CMA,Central European Airlines,centraleuropeanairlines@email.com,2699
CHA,Central Flying Service,centralflyingservice@email.com,2700
CEM,Central Mongolia Airways,centralmongoliaairways@email.com,2701
GLR,Central Mountain Air,centralmountainair@email.com,2702
CQC,Central Queensland Aviation College,centralqueenslandaviationcollege@email.com,2703
CSI,Central Skyport,centralskyport@email.com,2704
CLW,Centralwings,centralwings@email.com,2705
DTV,Centre Airlines,centreairlines@email.com,2706
CGS,Centre of Applied Geodynamica,centreofappliedgeodynamica@email.com,2707
CVC,Centre-Avia,centre-avia@email.com,2708
CCV,Centro De Helicopteros Corporativos,centrodehelicopteroscorporativos@email.com,2709
ACF,Centro de Formacion Aeronautica de Canarias,centrodeformacionaeronauticadecanarias@email.com,2710
CWC,Centurion Air Cargo,centurionaircargo@email.com,2711
URY,Century Aviation,centuryaviation@email.com,2712
HAI,Century Aviation International,centuryaviationinternational@email.com,2713
XAD,Certified Air Dispatch,certifiedairdispatch@email.com,2714
CER,Cetraca Aviation Service,cetracaaviationservice@email.com,2715
IRU,Chabahar Airlines,chabaharairlines@email.com,2716
CLG,Chalair Aviation,chalairaviation@email.com,2717
CHK,Chalk's Ocean Airways,chalk'soceanairways@email.com,2718
CLS,Challenge Air Transport,challengeairtransport@email.com,2719
CHS,Challenge Aviation,challengeaviation@email.com,2720
OFF,Challenge International Airlines,challengeinternationalairlines@email.com,2721
CHG,AC Challenge Aero,acchallengeaero@email.com,2722
CPH,Champagne Airlines,champagneairlines@email.com,2723
CCP,Champion Air,championair@email.com,2724
NCH,Chanchangi Airlines,chanchangiairlines@email.com,2725
CGN,Changan Airlines,changanairlines@email.com,2726
CHN,Channel Island Aviation,channelislandaviation@email.com,2727
WML,Chantilly Air,chantillyair@email.com,2728
CPL,Chaparral Airlines,chaparralairlines@email.com,2729
CSU,Chari Aviation Services,chariaviationservices@email.com,2730
CAH,Charlan Air Charter,charlanaircharter@email.com,2731
HMD,Charlie Hammonds Flying Service,charliehammondsflyingservice@email.com,2732
CGD,Charlotte Air National Guard,charlotteairnationalguard@email.com,2733
CHW,Charter Air,charterair@email.com,2734
HRT,Chartright Air,chartrightair@email.com,2735
CHQ,Chautauqua Airlines,chautauquaairlines@email.com,2736
CBB,Cheboksary Airenterprise JSC,cheboksaryairenterprisejsc@email.com,2737
CHM,Chemech Aviation,chemechaviation@email.com,2738
CHZ,Cherline,cherline@email.com,2739
CMK,Chernomor-Avia,chernomor-avia@email.com,2740
CBM,Cherokee Express,cherokeeexpress@email.com,2741
CCY,Cherry Air,cherryair@email.com,2742
CAB,Chesapeake Air Service,chesapeakeairservice@email.com,2743
CVR,Chevron U.S.A,chevronu.s.a@email.com,2744
CYA,Cheyenne Airways,cheyenneairways@email.com,2745
CGO,Chicago Air,chicagoair@email.com,2746
WDY,Chicago Express,chicagoexpress@email.com,2747
RAT,Chief Rat Flight Services,chiefratflightservices@email.com,2748
CCH,Chilchota Taxi Aereo,chilchotataxiaereo@email.com,2749
DES,Chilcotin Caribou Aviation,chilcotincaribouaviation@email.com,2750
CAD,Chilliwack Aviation,chilliwackaviation@email.com,2751
ETN,Chim-Nir Aviation,chim-niraviation@email.com,2752
CAL,China Airlines,chinaairlines@email.com,2753
CKK,China Cargo Airlines,chinacargoairlines@email.com,2754
CES,China Eastern Airlines,chinaeasternairlines@email.com,2755
HXA,China Express Airlines,chinaexpressairlines@email.com,2756
CFA,China Flying Dragon Aviation,chinaflyingdragonaviation@email.com,2757
CTH,China General Aviation Corporation,chinageneralaviationcorporation@email.com,2758
CAG,China National Aviation Corporation,chinanationalaviationcorporation@email.com,2759
CBF,China Northern Airlines,chinanorthernairlines@email.com,2760
CNW,China Northwest Airlines,chinanorthwestairlines@email.com,2761
CHC,China Ocean Helicopter Corporation,chinaoceanhelicoptercorporation@email.com,2762
CYZ,China Postal Airlines,chinapostalairlines@email.com,2763
CSN,China Southern Airlines,chinasouthernairlines@email.com,2764
CXN,China Southwest Airlines,chinasouthwestairlines@email.com,2765
CUA,China United Airlines,chinaunitedairlines@email.com,2766
CXH,China Xinhua Airlines,chinaxinhuaairlines@email.com,2767
CYH,Yunnan Airlines,yunnanairlines@email.com,2768
CGU,Chinguetti Airlines,chinguettiairlines@email.com,2769
CEP,Chipola Aviation,chipolaaviation@email.com,2770
CPW,Chippewa Air Commuter,chippewaaircommuter@email.com,2771
CHF,Chitaavia,chitaavia@email.com,2772
CAS,Christman Air System,christmanairsystem@email.com,2773
OEC,Christophorus Flugrettungsverein,christophorusflugrettungsverein@email.com,2774
CHO,Chrome Air Services,chromeairservices@email.com,2775
CHU,Church Aircraft,churchaircraft@email.com,2776
CIU,Cielos Airlines,cielosairlines@email.com,2777
CIM,Cimber Air,cimberair@email.com,2778
RRU,Cirrus,cirrus@email.com,2779
NTS,Cirrus Air,cirrusair@email.com,2780
RUS,Cirrus Airlines,cirrusairlines@email.com,2781
JTI,Cirrus Middle East,cirrusmiddleeast@email.com,2782
FIV,Citationshares,citationshares@email.com,2783
XCX,Citibank,citibank@email.com,2784
HZX,Citic General Aviation,citicgeneralaviation@email.com,2785
SDR,City Airline,cityairline@email.com,2786
CIX,City Connexion Airlines,cityconnexionairlines@email.com,2787
XBG,City of Bangor,cityofbangor@email.com,2788
BCY,CityJet,cityjet@email.com,2789
CAQ,Cityair (Chester) Limited,cityair(chester)limited@email.com,2790
CII,Cityfly,cityfly@email.com,2791
CFE,BA CityFlyer,bacityflyer@email.com,2792
CNB,Cityline Hungary,citylinehungary@email.com,2793
HSR,Citylink Airlines,citylinkairlines@email.com,2794
CIW,Civair Airways,civairairways@email.com,2795
BKR,Civil Air Patrol South Carolina Wing,civilairpatrolsouthcarolinawing@email.com,2796
CAT,Civil Air Transport,civilairtransport@email.com,2797
CIA,Civil Aviation Authority,civilaviationauthority@email.com,2798
CIV,Civil Aviation Authority of New Zealand,civilaviationauthorityofnewzealand@email.com,2799
CBA,Civil Aviation Inspectorate of the Czech Republic,civilaviationinspectorateoftheczechrepublic@email.com,2800
FMC,Claessens International Limited,claessensinternationallimited@email.com,2801
CLK,Clark Aviation,clarkaviation@email.com,2802
CSF,Clasair,clasair@email.com,2803
CLY,Clay Lacy Aviation,claylacyaviation@email.com,2804
CGK,Click Airways,clickairways@email.com,2805
CLZ,Cloud 9 Air Charters,cloud9aircharters@email.com,2806
CLD,Clowes Estates Limited,clowesestateslimited@email.com,2807
SDJ,Club 328,club328@email.com,2808
ISG,Club Air,clubair@email.com,2809
CST,Coast Air,coastair@email.com,2810
,Coastal Air,coastalair@email.com,2811
TCL,Coastal Air Transport,coastalairtransport@email.com,2812
CNG,Coastal Airways,coastalairways@email.com,2813
CSV,Coastal Travels,coastaltravels@email.com,2814
CHL,Cohlmia Aviation,cohlmiaaviation@email.com,2815
OLR,Colaereos,colaereos@email.com,2816
CLE,Colemill Enterprises,colemillenterprises@email.com,2817
CJC,Colgan Air,colganair@email.com,2818
CAE,Colibri Aviation,colibriaviation@email.com,2819
CCX,Colt International,coltinternational@email.com,2820
COL,Columbia Airlines,columbiaairlines@email.com,2821
WCO,Columbia Helicopters,columbiahelicopters@email.com,2822
KLR,Columbus Air Transport,columbusairtransport@email.com,2823
GHP,Colvin Aviation,colvinaviation@email.com,2824
COM,Comair,comair@email.com,2825
CAW,Comair,comair@email.com,2826
CDE,Comed Group,comedgroup@email.com,2827
CVV,Comeravia,comeravia@email.com,2828
CRS,Comercial Aerea,comercialaerea@email.com,2829
CMG,Comet Airlines,cometairlines@email.com,2830
FYN,Comfort Air,comfortair@email.com,2831
CLA,Comlux Aviation,comluxaviation@email.com,2832
CMH,Commair Aviation,commairaviation@email.com,2833
CTM,Commandement Du Transport Aerien Militaire Francais,commandementdutransportaerienmilitairefrancais@email.com,2834
CML,Commander Air Charter,commanderaircharter@email.com,2835
CRM,Commander Mexicana,commandermexicana@email.com,2836
CMS,Commercial Aviation,commercialaviation@email.com,2837
GAR,Commodore Aviation,commodoreaviation@email.com,2838
CJS,Commonwealth Jet Service,commonwealthjetservice@email.com,2839
UCA,CommutAir,commutair@email.com,2840
CWK,Comores Airlines,comoresairlines@email.com,2841
CGR,Compagnia Generale Ripreseaeree,compagniageneraleripreseaeree@email.com,2842
CMM,Compagnie Aerienne du Mali,compagnieaeriennedumali@email.com,2843
CPM,Compagnie Mauritanienne Des Transports,compagniemauritaniennedestransports@email.com,2844
GIC,Compagnie de Bauxites de Guinee,compagniedebauxitesdeguinee@email.com,2845
AIF,Compania Aerea de Valencia,companiaaereadevalencia@email.com,2846
ATF,Compania Aerotecnicas Fotograficas,companiaaerotecnicasfotograficas@email.com,2847
ASU,Compania Boliviana de Transporte Aereo Privado Aerosur,companiabolivianadetransporteaereoprivadoaerosur@email.com,2848
LCT,Compania De Actividades Y Servicios De Aviacion,companiadeactividadesyserviciosdeaviacion@email.com,2849
EJV,Compania Ejecutiva,companiaejecutiva@email.com,2850
HSE,Compania Helicopteros Del Sureste,companiahelicopterosdelsureste@email.com,2851
MDR,Compania Mexicana De Aeroplanos,companiamexicanadeaeroplanos@email.com,2852
MXC,Compania Mexicargo,companiamexicargo@email.com,2853
HSS,Compania Transportes Aereos Del Sur,companiatransportesaereosdelsur@email.com,2854
TAV,Compania de Servicios Aereos Tavisa,companiadeserviciosaereostavisa@email.com,2855
CYF,Company Flight,companyflight@email.com,2856
CPZ,Compass Airlines,compassairlines@email.com,2857
CPS,Compass International Airways,compassinternationalairways@email.com,2858
XCO,Compuflight Operations Service,compuflightoperationsservice@email.com,2859
XCS,Compuserve Incorporated,compuserveincorporated@email.com,2860
CRC,Conair Aviation,conairaviation@email.com,2861
COD,Concordavia,concordavia@email.com,2862
CNR,Condor Aero Services,condoraeroservices@email.com,2863
CIB,Condor,condor@email.com,2864
CFG,Condor Flugdienst,condorflugdienst@email.com,2865
COF,Confort Air,confortair@email.com,2866
CAK,Congo Air,congoair@email.com,2867
CGA,Congressional Air,congressionalair@email.com,2868
ROY,Conifair Aviation,conifairaviation@email.com,2869
BSN,Connectair Charters,connectaircharters@email.com,2870
CAC,Conquest Airlines,conquestairlines@email.com,2871
CXO,Conroe Aviation Services,conroeaviationservices@email.com,2872
CHP,Consorcio Aviaxsa,consorcioaviaxsa@email.com,2873
VCH,Consorcio Helitec,consorciohelitec@email.com,2874
UZA,Constanta Airline,constantaairline@email.com,2875
KIS,Contact Air,contactair@email.com,2876
XCL,Contel ASC,contelasc@email.com,2877
COA,Continental Airlines,continentalairlines@email.com,2878
PVV,Continental Airways,continentalairways@email.com,2879
,Continental Express,continentalexpress@email.com,2880
CMI,Continental Micronesia,continentalmicronesia@email.com,2881
CON,Continental Oil,continentaloil@email.com,2882
VCV,Conviasa,conviasa@email.com,2883
CKA,Cook Inlet Aviation,cookinletaviation@email.com,2884
SVY,Cooper Aerial Surveys,cooperaerialsurveys@email.com,2885
CMP,Copa Airlines,copaairlines@email.com,2886
CAT,Copenhagen Airtaxi,copenhagenairtaxi@email.com,2887
COP,Copper State Air Service,copperstateairservice@email.com,2888
AAQ,Copterline,copterline@email.com,2889
CCW,Coptrade Air Transport,coptradeairtransport@email.com,2890
CAI,Corendon Airlines,corendonairlines@email.com,2891
CRA,Coronado Aerolineas,coronadoaerolineas@email.com,2892
CPB,Corpac Canada,corpaccanada@email.com,2893
CNC,Corporacion Aereo Cencor,corporacionaereocencor@email.com,2894
CPG,Corporacion Aeroangeles,corporacionaeroangeles@email.com,2895
CGY,Corporacion Paraguaya De Aeronautica,corporacionparaguayadeaeronautica@email.com,2896
CPT,Corporate Air,corporateair@email.com,2897
CPR,Corporate Air,corporateair@email.com,2898
CPO,Corporate Aircraft Company,corporateaircraftcompany@email.com,2899
COO,Corporate Airlink,corporateairlink@email.com,2900
CKE,Corporate Aviation Services,corporateaviationservices@email.com,2901
VHT,Corporate Flight International,corporateflightinternational@email.com,2902
VTE,Corporate Flight Management,corporateflightmanagement@email.com,2903
CJI,Corporate Jets,corporatejets@email.com,2904
CRL,Corsairfly,corsairfly@email.com,2905
CCM,Corse-Mediterranee,corse-mediterranee@email.com,2906
COZ,Cosmic Air,cosmicair@email.com,2907
CHI,Cougar Helicopters,cougarhelicopters@email.com,2908
MGB,Coulson Flying Service,coulsonflyingservice@email.com,2909
NSW,Country Connection Airlines,countryconnectionairlines@email.com,2910
CIK,Country International Airlines,countryinternationalairlines@email.com,2911
CSD,Courier Services,courierservices@email.com,2912
CUT,Court Helicopters,courthelicopters@email.com,2913
CVL,Coval Air,covalair@email.com,2914
COW,Cowi,cowi@email.com,2915
COY,Coyne Aviation,coyneaviation@email.com,2916
CFD,Cranfield University,cranfielduniversity@email.com,2917
CRE,Cree Airways,creeairways@email.com,2918
ELM,Crelam,crelam@email.com,2919
CAN,Crest Aviation,crestaviation@email.com,2920
KRM,Crimea Universal Avia,crimeauniversalavia@email.com,2921
CTN,Croatia Airlines,croatiaairlines@email.com,2922
HRZ,Croatian Air Force,croatianairforce@email.com,2923
CRX,Cross Aviation,crossaviation@email.com,2924
ECC,Crossair Europe,crossaireurope@email.com,2925
CWX,Crow Executive Air,crowexecutiveair@email.com,2926
CKR,Crown Air Systems,crownairsystems@email.com,2927
CRO,Crown Airways,crownairways@email.com,2928
CRW,Crownair,crownair@email.com,2929
VCR,Cruiser Linhas Aereas,cruiserlinhasaereas@email.com,2930
CTY,Cryderman Air Service,crydermanairservice@email.com,2931
CYT,Crystal Shamrock,crystalshamrock@email.com,2932
CUB,Cubana de Aviación,cubanadeaviación@email.com,2933
CBL,Cumberland Airways (Nicholson Air Service),cumberlandairways(nicholsonairservice)@email.com,2934
CTT,Custom Air Transport,customairtransport@email.com,2935
RGN,Cygnus Air,cygnusair@email.com,2936
CYC,Cyprair Tours,cyprairtours@email.com,2937
CYS,Cypress Airlines,cypressairlines@email.com,2938
CYP,Cyprus Airways,cyprusairways@email.com,2939
,Cyprus Turkish Airlines,cyprusturkishairlines@email.com,2940
CEF,Czech Air Force,czechairforce@email.com,2941
AHD,Czech Air Handling,czechairhandling@email.com,2942
CSA,Czech Airlines,czechairlines@email.com,2943
CIE,Czech Government Flying Service,czechgovernmentflyingservice@email.com,2944
DDA,D & D Aviation,d&daviation@email.com,2945
DNK,D&K Aviation,d&kaviation@email.com,2946
DHE,DAP Helicopteros,daphelicopteros@email.com,2947
VLF,DFS UK Limited,dfsuklimited@email.com,2948
DSR,DAS Air Cargo,dasaircargo@email.com,2949
RKC,DAS Airlines,dasairlines@email.com,2950
DTR,DAT Danish Air Transport,datdanishairtransport@email.com,2951
ENT,DAT Enterprise Limited,datenterpriselimited@email.com,2952
BDN,DERA Boscombe Down,deraboscombedown@email.com,2953
DSN,DESNA,desna@email.com,2954
DET,DETA Air,detaair@email.com,2955
DGO,DGO Jet,dgojet@email.com,2956
DAE,DHL Aero Expreso,dhlaeroexpreso@email.com,2957
DHK,DHL Air,dhlair@email.com,2958
DHV,DHL Aviation,dhlaviation@email.com,2959
DHX,DHL International,dhlinternational@email.com,2960
JOS,DHL de Guatemala,dhldeguatemala@email.com,2961
RSK,DSWA,dswa@email.com,2962
DAO,Daallo Airlines,daalloairlines@email.com,2963
DAG,Dagestan Airlines,dagestanairlines@email.com,2964
DHA,Dahla Airlines,dahlaairlines@email.com,2965
DCS,Daimler Chrysler Aviation,daimlerchrysleraviation@email.com,2966
DCX,Daimler-Chrysler,daimler-chrysler@email.com,2967
DKA,Daka,daka@email.com,2968
DLR,Dala Air Services,dalaairservices@email.com,2969
KHB,Dalavia,dalavia@email.com,2970
DXP,Dallas Express Airlines,dallasexpressairlines@email.com,2971
DAS,Damascene Airways,damasceneairways@email.com,2972
DSA,Danbury Airways,danburyairways@email.com,2973
DOP,Dancopter,dancopter@email.com,2974
DAF,Danish Air Force,danishairforce@email.com,2975
DAR,Danish Army,danisharmy@email.com,2976
DNY,Danish Navy,danishnavy@email.com,2977
DNU,Danu Oro Transportas,danuorotransportas@email.com,2978
DRT,Darta,darta@email.com,2979
DWT,Darwin Airline,darwinairline@email.com,2980
DSQ,Dasab Airlines,dasabairlines@email.com,2981
DSH,Dash Air Charter,dashaircharter@email.com,2982
GOB,Dash Aviation,dashaviation@email.com,2983
DGX,Dasnair,dasnair@email.com,2984
DAB,Dassault Aviation,dassaultaviation@email.com,2985
CVF,Dassault Falcon Jet Corporation,dassaultfalconjetcorporation@email.com,2986
DSO,Dassault Falcon Service,dassaultfalconservice@email.com,2987
DTN,Data International,datainternational@email.com,2988
XDT,Date Transformation Corp,datetransformationcorp@email.com,2989
DAU,Dauair,dauair@email.com,2990
DCO,David Crawshaw Consultants Limited,davidcrawshawconsultantslimited@email.com,2991
DWN,Dawn Air,dawnair@email.com,2992
DJS,DayJet,dayjet@email.com,2993
DAY,Daya Aviation,dayaaviation@email.com,2994
DHC,De Havilland,dehavilland@email.com,2995
IAY,Deadalos Flugtbetriebs,deadalosflugtbetriebs@email.com,2996
DAA,Decatur Aviation,decaturaviation@email.com,2997
DKN,Deccan Aviation,deccanaviation@email.com,2998
DLK,Deccan Aviation (Lanka),deccanaviation(lanka)@email.com,2999
DER,Deer Jet,deerjet@email.com,3000
JDC,Deere and Company,deereandcompany@email.com,3001
DWR,Delaware Skyways,delawareskyways@email.com,3002
DEA,Delta Aerotaxi,deltaaerotaxi@email.com,3003
SNO,Delta Air Charter,deltaaircharter@email.com,3004
ELJ,Delta Air Elite,deltaairelite@email.com,3005
DAL,Delta Air Lines,deltaairlines@email.com,3006
KMB,Delta Engineering Aviation,deltaengineeringaviation@email.com,3007
DLI,Delta Express International,deltaexpressinternational@email.com,3008
